NAMESPACE                     LAST SEEN   TYPE      REASON                                   OBJECT                                                             MESSAGE
kube-system                   39m         Normal    Pulling                                  pod/pdcsi-node-nc9f9                                               Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gcp-compute-persistent-disk-csi-driver:v1.23.1-gke.20@sha256:fc65b739e47e804ec6c93f4a2a8d8a2dbcaa2c1dd91f082fdb0c4266856d12ce"
kube-system                   39m         Normal    Pulling                                  pod/gke-metrics-agent-wrvtz                                        Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260312.00_p0@sha256:d31f982e00598633fd2e94787f76894e29e80a3d87f5e15eacfc42b40e866de8"
kube-system                   39m         Normal    Pulled                                   pod/fluentbit-gke-lbhr6                                            Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260222.00_p0@sha256:f1538ec13c7dbe0e95cd5aab7a25c29280d41a3909d86d400b43d66b54642da8" in 880ms (880ms including waiting). Image size: 2927935 bytes.
kube-system                   39m         Normal    Created                                  pod/netd-drwst                                                     Container created
kube-system                   39m         Normal    Started                                  pod/netd-drwst                                                     Container started
kube-system                   39m         Normal    Pulled                                   pod/netd-drwst                                                     Container image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20251007.00_p0@sha256:638afa0822ed4c4aad9ff9f8528667a9d04dd5e1c7b1c251e9344ca7dd4aad68" already present on machine and can be accessed by the pod
kube-system                   39m         Normal    Created                                  pod/netd-drwst                                                     Container created
kube-system                   39m         Normal    Created                                  pod/anetd-2r7gz                                                    Container created
kube-system                   39m         Normal    Pulling                                  pod/fluentbit-gke-lbhr6                                            Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260222.00_p0@sha256:f1538ec13c7dbe0e95cd5aab7a25c29280d41a3909d86d400b43d66b54642da8"
kube-system                   39m         Normal    Started                                  pod/anetd-2r7gz                                                    Container started
kube-system                   39m         Normal    Created                                  pod/anetd-2r7gz                                                    Container created
kube-system                   39m         Warning   FailedScheduling                         pod/l7-default-backend-58ffbbd58-wvskg                             0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system                   39m         Normal    Started                                  pod/fluentbit-gke-lbhr6                                            Container started
kube-system                   39m         Normal    Started                                  pod/netd-drwst                                                     Container started
kube-system                   39m         Normal    Created                                  pod/fluentbit-gke-lbhr6                                            Container created
kube-system                   39m         Normal    Started                                  pod/anetd-2r7gz                                                    Container started
kube-system                   39m         Normal    Created                                  pod/gke-metrics-agent-wrvtz                                        Container created
kube-system                   39m         Normal    Pulled                                   pod/gke-metrics-agent-wrvtz                                        Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260312.00_p0@sha256:d31f982e00598633fd2e94787f76894e29e80a3d87f5e15eacfc42b40e866de8" in 1.067s (1.067s including waiting). Image size: 2929568 bytes.
kube-system                   39m         Normal    Started                                  pod/gke-metrics-agent-wrvtz                                        Container started
kube-system                   39m         Normal    Pulled                                   pod/anetd-2r7gz                                                    Container image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20251010.00_p0@sha256:3615589424e94c68f8cee5d50c27c5a8b1a1f50ab5dc175a14e8540db7c80e8e" already present on machine and can be accessed by the pod
gmp-system                    39m         Normal    Scheduled                                pod/alertmanager-0                                                 Successfully assigned gmp-system/alertmanager-0 to gke-portable-voting-default-pool-2393733d-3flq
kube-system                   39m         Normal    Scheduled                                pod/event-exporter-gke-7dc55f4f5f-6k5kj                            Successfully assigned kube-system/event-exporter-gke-7dc55f4f5f-6k5kj to gke-portable-voting-default-pool-2393733d-3flq
kube-system                   39m         Normal    Pulling                                  pod/fluentbit-gke-lbhr6                                            Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gke-distroless/bash:gke_distroless_20260615.00_p0@sha256:b98f4278dc5123fbad96c54ba8301c512d32f4716528ab30faea15108c68c52e"
gmp-system                    39m         Normal    Scheduled                                pod/gmp-operator-6875fdf876-rlwlh                                  Successfully assigned gmp-system/gmp-operator-6875fdf876-rlwlh to gke-portable-voting-default-pool-2393733d-3flq
kube-system                   39m         Normal    Scheduled                                pod/antrea-controller-horizontal-autoscaler-5f556bf8c6-w4z9q       Successfully assigned kube-system/antrea-controller-horizontal-autoscaler-5f556bf8c6-w4z9q to gke-portable-voting-default-pool-2393733d-3flq
kube-system                   39m         Normal    Pulling                                  pod/gke-metrics-agent-wrvtz                                        Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-agent:1.16.1-gke.3@sha256:4cc4daca02a5928dd1c38b03ff421c9b3bca9cbc1249ccf69f8acfe3948ac1df"
gmp-system                    39m         Normal    Scheduled                                pod/rule-evaluator-79c78c4fd5-4q9kw                                Successfully assigned gmp-system/rule-evaluator-79c78c4fd5-4q9kw to gke-portable-voting-default-pool-2393733d-3flq
kube-system                   39m         Normal    Scheduled                                pod/konnectivity-agent-5446844985-k8xgt                            Successfully assigned kube-system/konnectivity-agent-5446844985-k8xgt to gke-portable-voting-default-pool-2393733d-3flq
kube-system                   39m         Normal    Scheduled                                pod/kube-dns-autoscaler-5dc7b666d8-wp4pz                           Successfully assigned kube-system/kube-dns-autoscaler-5dc7b666d8-wp4pz to gke-portable-voting-default-pool-2393733d-3flq
kube-system                   39m         Normal    Scheduled                                pod/konnectivity-agent-autoscaler-685569f784-wxl9g                 Successfully assigned kube-system/konnectivity-agent-autoscaler-685569f784-wxl9g to gke-portable-voting-default-pool-2393733d-3flq
gke-managed-cim               39m         Normal    Scheduled                                pod/kube-state-metrics-0                                           Successfully assigned gke-managed-cim/kube-state-metrics-0 to gke-portable-voting-default-pool-2393733d-3flq
kube-system                   39m         Normal    Scheduled                                pod/l7-default-backend-58ffbbd58-wvskg                             Successfully assigned kube-system/l7-default-backend-58ffbbd58-wvskg to gke-portable-voting-default-pool-2393733d-3flq
kube-system                   39m         Normal    Scheduled                                pod/metrics-server-v1.35.1-6559d8569d-c2m47                        Successfully assigned kube-system/metrics-server-v1.35.1-6559d8569d-c2m47 to gke-portable-voting-default-pool-2393733d-3flq
kube-system                   39m         Normal    Scheduled                                pod/metrics-server-v1.35.1-78f45667d-ptnww                         Successfully assigned kube-system/metrics-server-v1.35.1-78f45667d-ptnww to gke-portable-voting-default-pool-2393733d-3flq
kube-system                   39m         Normal    Pulled                                   pod/netd-drwst                                                     Container image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/netd:v0.10.12-gke.16@sha256:cb62348b061dc61180a3879c13c7cf1d3176312a167196776cf829e5c90c86c9" already present on machine and can be accessed by the pod
kube-system                   39m         Normal    Scheduled                                pod/kube-dns-78d5d95979-p2v8j                                      Successfully assigned kube-system/kube-dns-78d5d95979-p2v8j to gke-portable-voting-default-pool-2393733d-3flq
gmp-system                    39m         Warning   FailedMount                              pod/alertmanager-0                                                 MountVolume.SetUp failed for volume "config" : secret "alertmanager" not found
gmp-system                    39m         Warning   FailedMount                              pod/rule-evaluator-79c78c4fd5-4q9kw                                MountVolume.SetUp failed for volume "config" : configmap "rule-evaluator" not found
gmp-system                    39m         Warning   FailedMount                              pod/rule-evaluator-79c78c4fd5-4q9kw                                MountVolume.SetUp failed for volume "rules" : configmap "rules-generated" not found
gmp-system                    39m         Warning   FailedMount                              pod/rule-evaluator-79c78c4fd5-4q9kw                                MountVolume.SetUp failed for volume "rules-secret" : secret "rules" not found
kube-system                   39m         Normal    Created                                  pod/netd-drwst                                                     Container created
kube-system                   39m         Normal    Created                                  pod/anetd-2r7gz                                                    Container created
kube-system                   39m         Normal    Created                                  pod/fluentbit-gke-lbhr6                                            Container created
kube-system                   39m         Normal    Pulled                                   pod/netd-drwst                                                     Container image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20251007_2300_RC0@sha256:0d590a9fb5339909d425b2eede28ac05cc76346092cbe82602c7618f047c25f0" already present on machine and can be accessed by the pod
kube-system                   39m         Normal    Started                                  pod/netd-drwst                                                     Container started
kube-system                   39m         Normal    Created                                  pod/netd-drwst                                                     Container created
gmp-system                    39m         Warning   FailedMount                              pod/collector-f27hc                                                MountVolume.SetUp failed for volume "config" : configmap "collector" not found
kube-system                   39m         Normal    Started                                  pod/anetd-2r7gz                                                    Container started
gmp-system                    39m         Warning   FailedMount                              pod/collector-f27hc                                                MountVolume.SetUp failed for volume "collection-secret" : secret "collection" not found
kube-system                   39m         Normal    Pulled                                   pod/fluentbit-gke-lbhr6                                            Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gke-distroless/bash:gke_distroless_20260615.00_p0@sha256:b98f4278dc5123fbad96c54ba8301c512d32f4716528ab30faea15108c68c52e" in 3.106s (3.106s including waiting). Image size: 18877251 bytes.
kube-system                   39m         Normal    LeaderElection                           lease/external-snapshotter-leader-pd-csi-storage-gke-io            gke-a4ad5f791ee9462391e0-79d6-e40e-vm became leader
